baba	爸爸
baei	扒
bags	罢工
bala	巴拉
bala	扒拉
bala	吧啦
bale	罢了
bama	爸妈
baqm	八千
bata	把他
bata	把它
bauo	八
bauo	爸
bawh	霸王
bawo	把我
bawo	把握
bbbb	斑斑驳驳
bbcz	蚌病成珠
bbhk	版本号
bblc	办不了
bblj	可
bbwd	尼
bbxd	百宝箱
bbxg	尼
bbzu	憋不住
bccg	表层
bcda	表达
bcdj	表单
bcdj	不承担
bcdm	标点
bcei	标
bcge	表格
bcji	标记
bcmy	表明
bcmy	标明
bcqm	标签
bcqy	表情
bcri	标日
bcsi	表示
bcsm	蔽聪塞明
bcsu	表述
bctb	表头
bctb	镖头
bcti	标题
bcxm	表现
bcyh	表扬
bcyu	标语
bczi	标志
bczp	标准
bczu	标注
bdci	背单词
bdfh	标点符号
bfbi	百分比
bfci	本次
bfcp	本村
bfdi	本地
bfdu	比飞度
bfdy	伴风搭雨
bfji	本机
bfke	本科
bfll	本来
bfmy	本名
bfpk	奔跑
bfqi	播放器
bfrf	本人
bfsf	本身
bfsi	本事
bfsu	本书
bfsu	不服输
bfvn	播放按钮
bfyt	本月
bfzb	本周
bfzi	本子
bfzi	本质
bfzj	本站
bgdz	办公地址
bgkv	崩溃
bgsi	办公室
bgyt	半个月
bgzh	办公自动化
bhdj	榜单
bhdk	绑到
bhdk	北海道
bhdm	百货店
bhdy	绑定
bhei	棒
bhei	榜
bhgg	不合格率不合格
bhhh	不会后悔
bhkj	不好看
bhls	辩护律师
bhmh	帮忙
bhmj	不遑枚举
bhml	兵荒马乱
bhni	帮你
bhqq	棒球
bhwo	帮我
bhyr	百花园
bhys	不好意思
bhzl	绑在
bhzu	帮助
bici	彼此
bidv	比对
biei	逼
bihw	笔画
biia	哔
bijc	比较
bijx	毕节
bijy	毕竟
bikl	避开
bili	比例
bimm	避免
bimy	笔名
biqr	币圈
bisi	彼时
bisl	比赛
bisl	鼻塞
bita	比它
bita	逼他
biue	笔
biui	鼻
biuu	彼
bivj	币安
biwf	逼问
bixu	必须
