# 单字编码表（共 2565 个单字，按编码数量从多到少排序）
# 格式：汉字 编码1 编码2 ...
# 提取自：dict/sbzr.userdb.txt
# 说明：每个编码都是2个字母（双拼）

前 qm
嗯 en 
跨 ky
路 lu
那 na
项 xd
骨 gu
亲 qn
会 hv
兑 dv
六 lq
冷 lg
包 bk
哪 na
喊 hj
培 pb
外 wa
学 xt
屈 qt
年 nm
扶 fu
抱 bk
捷 ju
月 yt
校 jc
格 ge
楼 lb
混 hp
渐 jr
渴 ke
片 pm
猫 mk
率 sy
百 bl
累 lz
红 hs
艾 ai
苞 bk
苦 ku
行 xy
被 bz
调 dc
费 fu
赶 gj
趁 cf
跳 tc
逢 fg
钥 yb
钩 gb
铁 dg
险 xr
露 lu
青 qy
顽 wj
鲍 bk
鸡 ji
乐 le
乔 qc
九 ji
仅 jn
介 jx
仓 cd
件 jr
价 jw
任 rf
仿 fh
传 cr
伯 bo
伴 bj
佛 fo
佬 lk
例 li
侨 qc
促 cu
俊 jp
俩 ld
倍 bz
假 jw
催 cv
儿 vr
兄 xs
兴 xy
其 qi
内 na
决 jt
凉 ld
刀 dk
刃 rf
切 qx
刻 ke
务 wu
劳 lk
勒 le
勤 qi
化 hw
区 qu
十 si
半 bj
南 na
卜 bu
卡 ka
卢 lu
却 qt
原 yr
句 ju
可 ke
右 yu
吃 ci
合 he
吓 ha
否 fb
吧 ba
吨 dp
吩 ff
听 yt
吭 hh
吵 ck
味 wi
呵 ha
咐 fu
咖 ka
咬 yk
咳 hl
咽 ye
哈 ha
哦 ou
唆 so
唔 en
啊 ao
喷 pf
回 hv
团 qq
囤 tp
圈 qr
土 tu
地 di
坏 hv
坑 kg
坚 jr
埔 pu
堂 th
增 cg
夏 xw
天 tm
夺 do
奔 ff
奥 ao
她 ta
好 ho
婚 hp
宅 zl
安 an
完 yr
客 ke
害 he
宿 su
小 xi
少 sk
岸 an
己 ji
巷 xd
师 si
帮 bg
幕 mu
平 py
床 cd
底 di
度 du
弹 dj
强 qd
归 gv
得 de
忙 mh
快 ky
恁 nf
恐 kb
恒 hg
想 wx
惹 re
愁 cb
感 hj
慢 mj
戎 rs
我 wo
房 fh
扒 pa
扭 nq
扳 bj
找 hw
技 qi
把 ba
投 tb
折 ze
抹 mo
担 dj
拌 bj
拍 pl
拗 ao
招 qc
拽 zy
挎 ku
挑 tc
挥 hv
挫 co
捶 cv
掀 xm
控 ks
描 mc
揣 cy
援 yr
搞 gk
摩 mo
改 gl
放 fh
敌 di
敞 ch
数 su
方 fh
旧 jq
旬 jp
昂 ah
昆 hp
明 mg
是 si
暴 pu
曾 cg
望 wg
朝 ck
本 bf
杂 do
杜 du
极 ji
构 gg
果 go
架 jw
柏 bo
柜 ju
树 ss
核 he
棍 gp
楚 cu
模 mo
横 hg
武 wu
比 bi
气 qi
汤 th
汽 qi
没 mo
泊 bo
活 ho
派 pl
浅 jr
济 qi
浩 hk
涮 sr
渠 qu
游 yb
满 mj
滨 bn
漆 qi
演 yr
灌 hr
灯 dg
灿 cj
炉 lu
炎 yj
烈 gd
烙 lk
烟 yj
烦 fa
焦 jc
焰 yj
爱 ai
犯 fa
狂 kd
狼 lh
现 xm
球 qu
琳 ly
瓦 wa
疑 yi
病 by
白 bl
的 di
皇 hr
盛 sg
目 mu
盼 pj
省 sg
看 kh
眠 mn
着 ze
短 du
窗 cd
笔 pi
筒 ts
简 jr
管 gp
篇 pc
篮 ls
粉 ff
粗 cu
系 xi
纠 jq
结 ji
给 gz
络 lo
绳 sg
绿 lv
罢 ba
耐 ng
耳 rg
聊 lc
肉 ru
肯 kf
背 bz
胖 ph
胞 pk
